"","logFC.groupAIHcirrhosis...grouphealthy","logFC.groupAIHcirrhosis...groupAIHnocirrhosis","logFC.groupAIHnocirrhosis...grouphealthy","logCPM","F","PValue"
"ENSG00000186526",-1.19477792675773,0.368516097594886,-1.56329402435261,-0.674774919996981,2.5060699460213,0.0866807851248575
"ENSG00000186529",0.242678173854866,0.102978998658873,0.139699175195993,7.98397724306987,0.650836960276484,0.524214709871704
"ENSG00000186204",0.3133742692018,0.548307323627629,-0.234933054425829,2.70491447017528,1.78976233505895,0.172286584785198
"ENSG00000171942",-2.43628135062627,-1.26077799871663,-1.17550335190964,-1.41974882073908,6.70589772486257,0.00196217406217655
"ENSG00000171936",-2.40846427942649,-0.587559528309567,-1.82090475111692,-1.45748713310632,12.4734193848926,1.74144754200972e-05
"ENSG00000172519",-2.83334126621852,-1.88182784884168,-0.951513417376846,-1.3360759119503,5.86741890147678,0.00407973050424865
"ENSG00000186723",-1.80659261293546,-1.0978325767406,-0.708760036194863,-1.49194031492233,4.47874320079376,0.0879332412907679
"ENSG00000186115",0.139874537906117,0.333550035256724,-0.193675497350607,-0.931782842361917,0.0859276930353722,0.91772799395934
"ENSG00000171903",-0.632546029672204,0.00495600633497524,-0.637502036007179,-0.87925947770141,0.423772499222351,0.655738091106015
"ENSG00000176231",-1.43467789184708,-0.879252400953718,-0.555425490893366,-1.52949841471278,3.92566670954723,0.231434436507639
"ENSG00000167460",-0.00898791929728855,-0.178205858182208,0.169217938884919,7.53887463524884,2.85283228648617,0.062367201972684
"ENSG00000167461",0.0774472125801711,0.0355540801053279,0.0418931324748431,5.4099667439407,0.311603025185655,0.73297776621624
"ENSG00000196684",0.0973389411742413,0.0318472554187461,0.0654916857554952,7.47892787843605,0.295144481499487,0.745079293786603
"ENSG00000141977",0.518790185192775,0.144603350820323,0.374186834372452,1.03773687769896,0.427522515553601,0.653304265369058
"ENSG00000105058",0.140764709589112,-0.027824504035633,0.168589213624745,5.39045446242542,1.5963906573987,0.207726470123251
"ENSG00000072958",0.0231686141775501,-0.0632187090153405,0.0863873231928906,6.97248356362318,1.06310945150779,0.349235471047424
"ENSG00000127528",-0.12961781744906,-0.216421086926026,0.0868032694769655,9.67868295486224,3.16574973860101,0.0464240918920085
"ENSG00000127527",0.0341228285171537,-0.0410394688501891,0.0751622973673429,7.474274220163,0.458437640581051,0.633587596263643
"ENSG00000269058",-1.73352245072818,-3.48008649398492,1.74656404325675,-1.14048214288579,8.65767629681217,0.00037408893659628
"ENSG00000141979",-1.37018211583606,-0.38238704813246,-0.987795067703605,0.376063103147644,2.87594115407336,0.0610185591914434
"ENSG00000105072",-0.444572025314267,-0.297982871581806,-0.146589153732461,1.97919687378359,0.656665631426579,0.520790310264795
"ENSG00000085872",-0.1465151404998,-0.139305615477561,-0.00720952502223861,5.78471410028502,0.878643190722969,0.41851508130318
"ENSG00000127526",0.0726085006195096,0.0817839547668919,-0.0091754541473823,5.62279388365183,0.368583506558008,0.692645493023418
"ENSG00000105085",0.0436798165962587,0.0117874214654101,0.0318923951308486,3.71796942614674,0.0437863711678265,0.957176679838774
"ENSG00000268790",-2.5484980241031,-2.1778003449529,-0.370697679150196,-0.614624616793213,2.80741159012737,0.0651072688933376
